market,asin,title,keyword,store,remark,link,image_url,Discount Price,Commission,status
CA,B0FXM3YF1K,加拿大越野跑鞋,Trail Running Shoes Men Hiking Shoes, MUFANTON EU,Need Text Review,https://amzn.to/3YvOsZ6,https://m.media-amazon.com/images/I/71HM8au+BsL._AC_SY695_.jpg,0.00,0.00,active
CA,B0FXMCD1DM,加拿大赤足鞋, Barefoot Shoes Men Wide Toe Box Zero Drop Toe,MUFANTON EU,Need Text Review,https://amzn.to/4bmrWJF,https://m.media-amazon.com/images/I/713f1AV+FvL._AC_SY695_.jpg,0.00,0.00,active
