market,asin,title,keyword,卖家,store,remark,link,image_url,Discount Price,Commission,status
ES,B0GT4RDNCM,西班牙车载风扇免评,Vvnonix Ventilador de Coche,德国雪橇免评,Feng US Store,No Review,https://amzn.to/4fuObzg,https://m.media-amazon.com/images/I/71geRj+Q94L._AC_SL1500_.jpg,1.00,0.00,active
ES,B0GSYS53YY,西班牙驱鼠,chenan repelene ultrasónico para ratones - 4 modos,大乐卖999测评-吴榕兴,zhenggeyangbo,Need Text Review,https://amzn.to/48YRNFM,https://m.media-amazon.com/images/I/617WnpRZ-RL._AC_SL1200_.jpg,0.00,0.00,active
ES,B0GVN6RPHJ,西班牙止吠器,antildridos para perros alcance hasta 30 pies,大乐卖999测评-吴榕兴,Pzydm,Need Text Review,https://amzn.to/4udw8SU,https://m.media-amazon.com/images/I/61OWiqJVdOL._AC_SL1200_.jpg,0.00,0.00,active
ES,B0GQTGGLX8,西班牙驱赶器,ahuyentador de gatos exterior,大乐卖999测评-吴榕兴,Dunsaihu. Store,Need Text Review,https://amzn.to/4uAvVZE,https://m.media-amazon.com/images/I/51y-5baPT6L._AC_SL1500_.jpg,0.00,0.00,active
ES,B0GX5DQG1X,西班牙地钉,repelente solar para topos 4 piezas,大乐卖999测评-吴榕兴,jiaxuduni,Need Text Review,https://amzn.to/4uCNckJ,https://m.media-amazon.com/images/I/71z4GcLdryL._AC_SL1200_.jpg,0.00,0.00,active
